ibge,mesorregiao,microrregiao
1200013,Vale do Acre,Rio Branco
1200054,Vale do Acre,Brasiléia
1200104,Vale do Acre,Brasiléia
1200138,Vale do Acre,Rio Branco
1200179,Vale do Acre,Rio Branco
1200203,Vale do Juruá,Cruzeiro do Sul
1200252,Vale do Acre,Brasiléia
1200302,Vale do Juruá,Tarauacá
1200328,Vale do Juruá,Tarauacá
1200336,Vale do Juruá,Cruzeiro do Sul
1200344,Vale do Acre,Sena Madureira
1200351,Vale do Juruá,Cruzeiro do Sul
1200385,Vale do Acre,Rio Branco
1200807,Vale do Acre,Rio Branco
1200393,Vale do Juruá,Cruzeiro do Sul
1200401,Vale do Acre,Rio Branco
1200427,Vale do Juruá,Cruzeiro do Sul
1200435,Vale do Acre,Sena Madureira
1200500,Vale do Acre,Sena Madureira
1200450,Vale do Acre,Rio Branco
1200609,Vale do Juruá,Tarauacá
1200708,Vale do Acre,Brasiléia
2700102,Sertão Alagoano,Serrana do Sertão Alagoano
2700201,Leste Alagoano,São Miguel dos Campos
2700300,Agreste Alagoano,Arapiraca
2700409,Leste Alagoano,Mata Alagoana
2700508,Leste Alagoano,Maceió
2700607,Leste Alagoano,Maceió
2700706,Sertão Alagoano,Batalha
2700805,Agreste Alagoano,Palmeira dos Índios
2700904,Sertão Alagoano,Batalha
2701001,Leste Alagoano,São Miguel dos Campos
2701100,Leste Alagoano,Mata Alagoana
2701209,Agreste Alagoano,Palmeira dos Índios
2701308,Leste Alagoano,Mata Alagoana
2701357,Leste Alagoano,Mata Alagoana
2701407,Leste Alagoano,São Miguel dos Campos
2701506,Agreste Alagoano,Arapiraca
2701605,Sertão Alagoano,Serrana do Sertão Alagoano
2701704,Leste Alagoano,Mata Alagoana
2701803,Sertão Alagoano,Santana do Ipanema
2701902,Leste Alagoano,Serrana dos Quilombos
2702009,Agreste Alagoano,Arapiraca
2702108,Leste Alagoano,Mata Alagoana
2702207,Leste Alagoano,Maceió
2702306,Leste Alagoano,São Miguel dos Campos
2702355,Agreste Alagoano,Arapiraca
2702405,Sertão Alagoano,Alagoana do Sertão do São Francisco
2702504,Sertão Alagoano,Santana do Ipanema
2702553,Agreste Alagoano,Palmeira dos Índios
2702603,Agreste Alagoano,Arapiraca
2702702,Leste Alagoano,Penedo
2702801,Leste Alagoano,Mata Alagoana
2702900,Agreste Alagoano,Arapiraca
2703007,Leste Alagoano,Serrana dos Quilombos
2703106,Agreste Alagoano,Palmeira dos Índios
2703205,Leste Alagoano,Penedo
2703304,Sertão Alagoano,Serrana do Sertão Alagoano
2703403,Sertão Alagoano,Batalha
2703502,Leste Alagoano,Mata Alagoana
2703601,Leste Alagoano,Litoral Norte Alagoano
2703700,Sertão Alagoano,Batalha
2703759,Leste Alagoano,São Miguel dos Campos
2703809,Leste Alagoano,Mata Alagoana
2703908,Leste Alagoano,Mata Alagoana
2704005,Leste Alagoano,São Miguel dos Campos
2704104,Agreste Alagoano,Arapiraca
2704203,Agreste Alagoano,Arapiraca
2704302,Leste Alagoano,Maceió
2704401,Sertão Alagoano,Batalha
2704906,Agreste Alagoano,Palmeira dos Índios
2704500,Leste Alagoano,Litoral Norte Alagoano
2704609,Sertão Alagoano,Santana do Ipanema
2704708,Leste Alagoano,Maceió
2704807,Agreste Alagoano,Palmeira dos Índios
2705002,Sertão Alagoano,Serrana do Sertão Alagoano
2705101,Leste Alagoano,Mata Alagoana
2705200,Leste Alagoano,Mata Alagoana
2705309,Agreste Alagoano,Palmeira dos Índios
2705408,Sertão Alagoano,Batalha
2705507,Leste Alagoano,Mata Alagoana
2705606,Leste Alagoano,Mata Alagoana
2706000,Sertão Alagoano,Batalha
2706109,Sertão Alagoano,Santana do Ipanema
2706208,Sertão Alagoano,Santana do Ipanema
2706307,Agreste Alagoano,Palmeira dos Índios
2706406,Sertão Alagoano,Santana do Ipanema
2706422,Sertão Alagoano,Serrana do Sertão Alagoano
2706448,Leste Alagoano,Maceió
2706505,Leste Alagoano,Litoral Norte Alagoano
2706604,Agreste Alagoano,Palmeira dos Índios
2706703,Leste Alagoano,Penedo
2706802,Leste Alagoano,Penedo
2706901,Leste Alagoano,Maceió
2707008,Leste Alagoano,Serrana dos Quilombos
2707107,Sertão Alagoano,Alagoana do Sertão do São Francisco
2707206,Sertão Alagoano,Santana do Ipanema
2707305,Leste Alagoano,Mata Alagoana
2707404,Leste Alagoano,Litoral Norte Alagoano
2707503,Leste Alagoano,Penedo
2707602,Agreste Alagoano,Palmeira dos Índios
2707701,Leste Alagoano,Maceió
2707800,Leste Alagoano,São Miguel dos Campos
2707909,Leste Alagoano,Maceió
2708006,Sertão Alagoano,Santana do Ipanema
2708105,Leste Alagoano,Serrana dos Quilombos
2708204,Agreste Alagoano,Traipu
2708303,Leste Alagoano,Serrana dos Quilombos
2708402,Sertão Alagoano,Santana do Ipanema
2708501,Leste Alagoano,Mata Alagoana
2708600,Leste Alagoano,São Miguel dos Campos
2708709,Leste Alagoano,Litoral Norte Alagoano
2708808,Agreste Alagoano,Arapiraca
2708907,Leste Alagoano,Maceió
2906105,Extremo Oeste Baiano,Santa Maria da Vitória
2906204,Centro Norte Baiano,Irecê
2906303,Sul Baiano,Ilhéus-Itabuna
2906402,Nordeste Baiano,Serrinha
2906501,Metropolitana de Salvador,Salvador
2906600,Centro Sul Baiano,Guanambi
2906709,Centro Sul Baiano,Vitória da Conquista
2906808,Nordeste Baiano,Euclides da Cunha
2906824,Nordeste Baiano,Euclides da Cunha
2906857,Nordeste Baiano,Serrinha
2906873,Centro Norte Baiano,Jacobina
2906899,Centro Sul Baiano,Brumado
2906907,Sul Baiano,Porto Seguro
2907004,Nordeste Baiano,Entre Rios
2907103,Vale São-Franciscano da Bahia,Bom Jesus da Lapa
2907202,Vale São-Franciscano da Bahia,Juazeiro
2907301,Metropolitana de Salvador,Santo Antônio de Jesus
2907400,Extremo Oeste Baiano,Barreiras
2907509,Metropolitana de Salvador,Catu
2907558,Centro Sul Baiano,Boquira
2907608,Centro Norte Baiano,Irecê
2708956,Sertão Alagoano,Santana do Ipanema
2709103,Agreste Alagoano,Arapiraca
2709152,Leste Alagoano,São Miguel dos Campos
2709202,Agreste Alagoano,Traipu
2709301,Leste Alagoano,Serrana dos Quilombos
2709400,Leste Alagoano,Serrana dos Quilombos
1300029,Centro Amazonense,Tefé
1300060,Sudoeste Amazonense,Alto Solimões
1300086,Centro Amazonense,Coari
1300102,Centro Amazonense,Coari
1300144,Sul Amazonense,Madeira
1300201,Sudoeste Amazonense,Alto Solimões
1300300,Centro Amazonense,Manaus
1300409,Norte Amazonense,Rio Negro
1300508,Centro Amazonense,Parintins
1300607,Sudoeste Amazonense,Alto Solimões
1300631,Centro Amazonense,Coari
1300680,Centro Amazonense,Parintins
1300706,Sul Amazonense,Boca do Acre
1300805,Sul Amazonense,Madeira
1300839,Centro Amazonense,Coari
1300904,Sul Amazonense,Purus
1301001,Sudoeste Amazonense,Juruá
1301100,Centro Amazonense,Manaus
1301159,Centro Amazonense,Manaus
1301209,Centro Amazonense,Coari
1301308,Centro Amazonense,Coari
1301407,Sudoeste Amazonense,Juruá
1301506,Sudoeste Amazonense,Juruá
1301605,Sudoeste Amazonense,Alto Solimões
1301654,Sudoeste Amazonense,Juruá
1301704,Sul Amazonense,Madeira
1301803,Sudoeste Amazonense,Juruá
1301852,Centro Amazonense,Manaus
1301902,Centro Amazonense,Itacoatiara
1301951,Sudoeste Amazonense,Juruá
1302009,Centro Amazonense,Itacoatiara
1302108,Norte Amazonense,Japurá
1302207,Sudoeste Amazonense,Juruá
1302306,Sudoeste Amazonense,Alto Solimões
1302405,Sul Amazonense,Purus
1302504,Centro Amazonense,Manaus
1302553,Centro Amazonense,Manaus
1302603,Centro Amazonense,Manaus
1302702,Sul Amazonense,Madeira
1302801,Norte Amazonense,Japurá
1302900,Centro Amazonense,Parintins
1303007,Centro Amazonense,Parintins
1303106,Centro Amazonense,Itacoatiara
1303205,Norte Amazonense,Rio Negro
1303304,Sul Amazonense,Madeira
1303403,Centro Amazonense,Parintins
1303502,Sul Amazonense,Boca do Acre
1303536,Centro Amazonense,Rio Preto da Eva
1303569,Centro Amazonense,Rio Preto da Eva
1303601,Norte Amazonense,Rio Negro
1303700,Sudoeste Amazonense,Alto Solimões
1303809,Norte Amazonense,Rio Negro
1303908,Sudoeste Amazonense,Alto Solimões
1303957,Centro Amazonense,Parintins
1304005,Centro Amazonense,Itacoatiara
1304062,Sudoeste Amazonense,Alto Solimões
1304104,Sul Amazonense,Purus
1304203,Centro Amazonense,Tefé
1304237,Sudoeste Amazonense,Alto Solimões
1304260,Centro Amazonense,Tefé
1304302,Centro Amazonense,Parintins
1304401,Centro Amazonense,Itacoatiara
1600105,Norte do Amapá,Amapá
1600204,Norte do Amapá,Oiapoque
1600212,Sul do Amapá,Macapá
1600238,Sul do Amapá,Macapá
1600253,Sul do Amapá,Macapá
1600279,Sul do Amapá,Mazagão
1600303,Sul do Amapá,Macapá
1600402,Sul do Amapá,Mazagão
1600501,Norte do Amapá,Oiapoque
1600154,Sul do Amapá,Macapá
1600535,Sul do Amapá,Macapá
1600550,Norte do Amapá,Amapá
1600600,Sul do Amapá,Macapá
1600055,Sul do Amapá,Macapá
1600709,Norte do Amapá,Amapá
1600808,Sul do Amapá,Mazagão
2900108,Centro Sul Baiano,Seabra
2900207,Vale São-Franciscano da Bahia,Paulo Afonso
2900306,Nordeste Baiano,Alagoinhas
2900355,Nordeste Baiano,Ribeira do Pombal
2900405,Centro Norte Baiano,Feira de Santana
2900603,Centro Sul Baiano,Jequié
2900702,Nordeste Baiano,Alagoinhas
2900801,Sul Baiano,Porto Seguro
2900900,Sul Baiano,Ilhéus-Itabuna
2901007,Centro Sul Baiano,Jequié
2901106,Metropolitana de Salvador,Catu
2901155,Centro Norte Baiano,Irecê
2901205,Centro Sul Baiano,Vitória da Conquista
2901304,Centro Sul Baiano,Seabra
2901353,Centro Norte Baiano,Senhor do Bonfim
2901403,Extremo Oeste Baiano,Cotegipe
2901502,Centro Norte Baiano,Feira de Santana
2901601,Nordeste Baiano,Ribeira do Pombal
2901700,Centro Norte Baiano,Feira de Santana
2901809,Centro Norte Baiano,Senhor do Bonfim
2901908,Nordeste Baiano,Alagoinhas
2901957,Centro Sul Baiano,Jequié
2902054,Nordeste Baiano,Alagoinhas
2902005,Centro Sul Baiano,Brumado
2902104,Nordeste Baiano,Serrinha
2902203,Nordeste Baiano,Alagoinhas
2902252,Sul Baiano,Ilhéus-Itabuna
2902302,Metropolitana de Salvador,Santo Antônio de Jesus
2902401,Sul Baiano,Ilhéus-Itabuna
2902500,Extremo Oeste Baiano,Barreiras
2902609,Centro Norte Baiano,Itaberaba
2902658,Nordeste Baiano,Ribeira do Pombal
2902708,Vale São-Franciscano da Bahia,Barra
2902807,Centro Sul Baiano,Seabra
2902906,Centro Sul Baiano,Vitória da Conquista
2903003,Centro Norte Baiano,Irecê
2903102,Sul Baiano,Ilhéus-Itabuna
2903201,Extremo Oeste Baiano,Barreiras
2903235,Centro Norte Baiano,Irecê
2903300,Sul Baiano,Ilhéus-Itabuna
2903276,Nordeste Baiano,Serrinha
2903409,Sul Baiano,Ilhéus-Itabuna
2903508,Centro Sul Baiano,Vitória da Conquista
2903607,Nordeste Baiano,Serrinha
2903706,Centro Sul Baiano,Vitória da Conquista
2903805,Centro Norte Baiano,Itaberaba
2903904,Vale São-Franciscano da Bahia,Bom Jesus da Lapa
2903953,Centro Sul Baiano,Vitória da Conquista
2904001,Centro Sul Baiano,Seabra
2904050,Centro Sul Baiano,Seabra
2904100,Centro Sul Baiano,Boquira
2904209,Centro Sul Baiano,Boquira
2904308,Centro Sul Baiano,Jequié
2904407,Extremo Oeste Baiano,Cotegipe
2904506,Centro Sul Baiano,Boquira
2904605,Centro Sul Baiano,Brumado
2904704,Sul Baiano,Ilhéus-Itabuna
2904753,Vale São-Franciscano da Bahia,Barra
2904803,Centro Sul Baiano,Vitória da Conquista
2904852,Metropolitana de Salvador,Santo Antônio de Jesus
2904902,Metropolitana de Salvador,Santo Antônio de Jesus
2905008,Centro Sul Baiano,Guanambi
2905107,Centro Norte Baiano,Jacobina
2905156,Centro Sul Baiano,Vitória da Conquista
2905206,Centro Sul Baiano,Guanambi
2905305,Centro Norte Baiano,Irecê
2905404,Sul Baiano,Valença
2905503,Centro Norte Baiano,Jacobina
2905602,Sul Baiano,Ilhéus-Itabuna
2905701,Metropolitana de Salvador,Salvador
2905800,Sul Baiano,Valença
2905909,Vale São-Franciscano da Bahia,Juazeiro
2906006,Centro Norte Baiano,Senhor do Bonfim
2913705,Nordeste Baiano,Alagoinhas
2913804,Centro Norte Baiano,Feira de Santana
2913903,Sul Baiano,Ilhéus-Itabuna
2914000,Centro Norte Baiano,Feira de Santana
2914109,Centro Sul Baiano,Boquira
2914208,Centro Sul Baiano,Jequié
2914307,Centro Sul Baiano,Jequié
2914406,Centro Norte Baiano,Irecê
2914505,Centro Norte Baiano,Feira de Santana
2914604,Centro Norte Baiano,Irecê
2914653,Sul Baiano,Porto Seguro
2914703,Centro Norte Baiano,Itaberaba
2914802,Sul Baiano,Ilhéus-Itabuna
2914901,Sul Baiano,Ilhéus-Itabuna
2915007,Centro Sul Baiano,Seabra
2915106,Centro Sul Baiano,Jequié
2915205,Sul Baiano,Ilhéus-Itabuna
2915304,Sul Baiano,Porto Seguro
2915353,Vale São-Franciscano da Bahia,Barra
2915403,Sul Baiano,Ilhéus-Itabuna
2915502,Sul Baiano,Ilhéus-Itabuna
2915601,Sul Baiano,Porto Seguro
2915700,Sul Baiano,Ilhéus-Itabuna
2915809,Centro Sul Baiano,Itapetinga
2915908,Metropolitana de Salvador,Catu
2916005,Sul Baiano,Porto Seguro
2916104,Metropolitana de Salvador,Salvador
2916203,Sul Baiano,Ilhéus-Itabuna
2916302,Sul Baiano,Ilhéus-Itabuna
2916401,Centro Sul Baiano,Itapetinga
2916500,Nordeste Baiano,Ribeira do Pombal
2916609,Sul Baiano,Ilhéus-Itabuna
2916708,Centro Sul Baiano,Jequié
2916807,Centro Sul Baiano,Itapetinga
2916856,Centro Norte Baiano,Feira de Santana
2916906,Centro Sul Baiano,Jequié
2917003,Centro Norte Baiano,Senhor do Bonfim
2917102,Centro Sul Baiano,Itapetinga
2917201,Centro Sul Baiano,Brumado
2917300,Sul Baiano,Valença
2917334,Centro Sul Baiano,Guanambi
2917359,Extremo Oeste Baiano,Santa Maria da Vitória
2917409,Centro Sul Baiano,Guanambi
2917508,Centro Norte Baiano,Jacobina
2917607,Centro Sul Baiano,Jequié
2917706,Centro Norte Baiano,Senhor do Bonfim
2917805,Metropolitana de Salvador,Santo Antônio de Jesus
2917904,Nordeste Baiano,Entre Rios
2918001,Centro Sul Baiano,Jequié
2918100,Nordeste Baiano,Jeremoabo
2918209,Centro Sul Baiano,Jequié
2918308,Centro Sul Baiano,Jequié
2918357,Centro Norte Baiano,Irecê
2918407,Vale São-Franciscano da Bahia,Juazeiro
2918456,Sul Baiano,Porto Seguro
2918506,Centro Norte Baiano,Irecê
2918555,Sul Baiano,Ilhéus-Itabuna
2918605,Centro Sul Baiano,Seabra
2918704,Centro Sul Baiano,Jequié
2918753,Centro Sul Baiano,Guanambi
2918803,Centro Sul Baiano,Jequié
2918902,Sul Baiano,Porto Seguro
2919009,Centro Norte Baiano,Itaberaba
2919058,Centro Sul Baiano,Jequié
2919108,Nordeste Baiano,Serrinha
2919157,Centro Norte Baiano,Irecê
2919207,Metropolitana de Salvador,Salvador
2919306,Centro Sul Baiano,Seabra
2919405,Centro Sul Baiano,Guanambi
2919504,Centro Sul Baiano,Livramento do Brumado
2919553,Extremo Oeste Baiano,Barreiras
2919603,Centro Norte Baiano,Itaberaba
2919702,Centro Sul Baiano,Itapetinga
2919801,Centro Sul Baiano,Boquira
2919900,Vale São-Franciscano da Bahia,Paulo Afonso
2919926,Metropolitana de Salvador,Salvador
2919959,Centro Sul Baiano,Brumado
2920007,Centro Sul Baiano,Itapetinga
2920106,Centro Norte Baiano,Itaberaba
2920205,Centro Sul Baiano,Guanambi
2920304,Centro Sul Baiano,Brumado
2920403,Centro Sul Baiano,Vitória da Conquista
2920452,Extremo Oeste Baiano,Cotegipe
2920502,Centro Sul Baiano,Jequié
2920601,Metropolitana de Salvador,Santo Antônio de Jesus
2920700,Sul Baiano,Valença
2920809,Centro Sul Baiano,Jequié
2920908,Sul Baiano,Ilhéus-Itabuna
2921005,Metropolitana de Salvador,Catu
2921054,Centro Sul Baiano,Guanambi
2921104,Sul Baiano,Porto Seguro
2921203,Centro Norte Baiano,Jacobina
2921302,Centro Sul Baiano,Jequié
2921401,Centro Norte Baiano,Jacobina
2921450,Centro Sul Baiano,Vitória da Conquista
2907707,Vale São-Franciscano da Bahia,Paulo Afonso
2907806,Nordeste Baiano,Ribeira do Pombal
2907905,Nordeste Baiano,Ribeira do Pombal
2908002,Sul Baiano,Ilhéus-Itabuna
2908101,Extremo Oeste Baiano,Santa Maria da Vitória
2908200,Centro Norte Baiano,Feira de Santana
2908309,Metropolitana de Salvador,Santo Antônio de Jesus
2908408,Nordeste Baiano,Serrinha
2908507,Centro Norte Baiano,Feira de Santana
2908606,Nordeste Baiano,Entre Rios
2908705,Centro Sul Baiano,Brumado
2908804,Centro Sul Baiano,Seabra
2908903,Centro Norte Baiano,Feira de Santana
2909000,Centro Sul Baiano,Brumado
2909109,Extremo Oeste Baiano,Santa Maria da Vitória
2909208,Nordeste Baiano,Jeremoabo
2909307,Extremo Oeste Baiano,Santa Maria da Vitória
2909406,Extremo Oeste Baiano,Cotegipe
2909505,Centro Sul Baiano,Jequié
2909604,Nordeste Baiano,Alagoinhas
2909703,Extremo Oeste Baiano,Cotegipe
2909802,Metropolitana de Salvador,Santo Antônio de Jesus
2909901,Vale São-Franciscano da Bahia,Juazeiro
2910008,Centro Sul Baiano,Vitória da Conquista
2910107,Centro Sul Baiano,Livramento do Brumado
2910206,Metropolitana de Salvador,Santo Antônio de Jesus
2910305,Centro Norte Baiano,Feira de Santana
2910404,Centro Sul Baiano,Itapetinga
2910503,Nordeste Baiano,Entre Rios
2900504,Centro Sul Baiano,Livramento do Brumado
2910602,Nordeste Baiano,Entre Rios
2910701,Nordeste Baiano,Euclides da Cunha
2910727,Sul Baiano,Porto Seguro
2910750,Nordeste Baiano,Ribeira do Pombal
2910776,Vale São-Franciscano da Bahia,Bom Jesus da Lapa
2910800,Centro Norte Baiano,Feira de Santana
2910859,Centro Norte Baiano,Senhor do Bonfim
2910909,Sul Baiano,Ilhéus-Itabuna
2911006,Sul Baiano,Ilhéus-Itabuna
2911105,Extremo Oeste Baiano,Barreiras
2911204,Sul Baiano,Ilhéus-Itabuna
2911253,Nordeste Baiano,Serrinha
2911303,Centro Norte Baiano,Irecê
2911402,Vale São-Franciscano da Bahia,Paulo Afonso
2911501,Sul Baiano,Ilhéus-Itabuna
2911600,Metropolitana de Salvador,Santo Antônio de Jesus
2911659,Centro Sul Baiano,Brumado
2911709,Centro Sul Baiano,Guanambi
2911808,Sul Baiano,Porto Seguro
2911857,Nordeste Baiano,Ribeira do Pombal
2911907,Centro Norte Baiano,Itaberaba
2912004,Centro Sul Baiano,Guanambi
2912103,Sul Baiano,Ilhéus-Itabuna
2912202,Centro Sul Baiano,Seabra
2912301,Centro Sul Baiano,Vitória da Conquista
2912400,Centro Norte Baiano,Irecê
2912509,Centro Sul Baiano,Boquira
2912608,Centro Norte Baiano,Itaberaba
2912707,Sul Baiano,Ilhéus-Itabuna
2912806,Sul Baiano,Porto Seguro
2912905,Sul Baiano,Ilhéus-Itabuna
2913002,Centro Sul Baiano,Boquira
2913101,Centro Norte Baiano,Irecê
2913200,Vale São-Franciscano da Bahia,Barra
2913309,Nordeste Baiano,Serrinha
2913408,Centro Sul Baiano,Guanambi
2913457,Sul Baiano,Valença
2913507,Centro Sul Baiano,Vitória da Conquista
2913606,Sul Baiano,Ilhéus-Itabuna
2933257,Sul Baiano,Porto Seguro
2933307,Centro Sul Baiano,Vitória da Conquista
2933406,Centro Sul Baiano,Seabra
2933455,Extremo Oeste Baiano,Cotegipe
2933505,Sul Baiano,Ilhéus-Itabuna
2933604,Vale São-Franciscano da Bahia,Barra
2300101,Sul Cearense,Brejo Santo
2300150,Norte Cearense,Baturité
2300200,Noroeste Cearense,Litoral de Camocim e Acaraú
2300309,Sertões Cearenses,Sertão de Senador Pompeu
2300408,Sertões Cearenses,Sertão de Inhamuns
2300507,Noroeste Cearense,Meruoca
2300606,Sul Cearense,Caririaçu
2300705,Jaguaribe,Baixo Jaguaribe
2300754,Norte Cearense,Itapipoca
2300804,Centro-Sul Cearense,Várzea Alegre
2300903,Norte Cearense,Médio Curu
2301000,Metropolitana de Fortaleza,Fortaleza
2301109,Jaguaribe,Litoral de Aracati
2301208,Norte Cearense,Baturité
2301257,Sertões Cearenses,Sertão de Cratéus
2921500,Nordeste Baiano,Euclides da Cunha
2921609,Vale São-Franciscano da Bahia,Barra
2921708,Centro Norte Baiano,Jacobina
2921807,Centro Sul Baiano,Guanambi
2921906,Centro Sul Baiano,Seabra
2922003,Sul Baiano,Porto Seguro
2922052,Centro Norte Baiano,Irecê
2922102,Centro Norte Baiano,Itaberaba
2922201,Metropolitana de Salvador,Santo Antônio de Jesus
2922250,Vale São-Franciscano da Bahia,Barra
2922300,Metropolitana de Salvador,Santo Antônio de Jesus
2922409,Centro Sul Baiano,Jequié
2922508,Metropolitana de Salvador,Santo Antônio de Jesus
2922607,Sul Baiano,Valença
2922656,Nordeste Baiano,Euclides da Cunha
2922706,Centro Sul Baiano,Vitória da Conquista
